Ontology ID	Label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	editor note	term editor	curator note	ontology term requester	term tracker item	Logical Type	Class Type	Parent	exact synonym	Has Subset	Member of superset 	db xref
ID	LABEL	A editor preferred term	AI has curation status	A alternative term SPLIT=|	A definition	A definition source SPLIT=|	A example of usage SPLIT=|	A editor note SPLIT=|	A term editor SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	TYPE	CLASS_TYPE	C % SPLIT=|	A oboInOwl:hasExactSynonym	C 'has subset some % SPLIT=|	C 'part of' superset %	A http://www.geneontology.org/formats/oboInOwl#hasDbXref
obo:RBO_011000	Physical radiation research infrastructure				"A material entity such as physical resources, facilities, or personnel organized to support radiation biology research."			Primary parent for physical infrastructure assets.		Paul Schofield					BFO:0000040				
obo:RBO_011001	Digital radiation research infrastructure				"An information content entity that consists of digital resources, data systems, and models organized to support radiation biology research."			Primary parent for digital/information infrastructure assets.		Paul Schofield					IAO:0000030				
obo:RBO_011002	radiation exposure facility				A facility specifically designed to provide controlled radiation exposure to biological or physical samples for research purposes.					Paul Schofield					obo:RBO_011000				
obo:RBO_011003	external exposure facility				"A radiation exposure facility in which biological or physical samples are irradiated by a radiation source external to the subject, including photon, particle beam, neutron, radon and calibration irradiation systems."					Paul Schofield					obo:RBO_011002				
obo:RBO_011004	internal exposure facility				"A radiation exposure facility in which biological subjects are exposed to radionuclides via incorporation routes such as inhalation, ingestion or wound contamination, resulting in internal radiation exposure from incorporated radionuclides."					Paul Schofield					obo:RBO_011002				
obo:RBO_011005	contaminated site observatory				A geographically defined area contaminated with radionuclides or naturally occurring radioactive materials (NORM) that is formally designated as a long-term field research site for radioecological investigation.			Polyhierarchy: child of both Physical Infrastructure and BFO:Site.		Paul Schofield					obo:RBO_011000|BFO:0000029				
obo:RBO_011006	radiation research analytical platform				"A facility providing specialised analytical capabilities including biodosimetry, genomics, proteomics, radiochemistry, in vivo bioassay or imaging used to characterise biological samples or measure radiation-related outcomes in support of radiation biology and radiation protection research."					Paul Schofield					obo:RBO_011000				
obo:RBO_011007	radiation research sample bank				A physical infrastructure for the systematic storage and management of biological or environmental samples related to radiation research.					Paul Schofield					obo:RBO_011000				
obo:RBO_011008	radiation epidemiology cohort				A research infrastructure centered around a defined group of individuals (aggregate of organisms) tracked over time for radiation-related health outcomes.					Paul Schofield					obo:RBO_011000				
obo:RBO_011009	radiation biology database				An information content entity consisting of structured collections of data related to radiation biology research.					Paul Schofield					obo:RBO_011001				
obo:RBO_011010	radiation dosimetry model				"A computational model, simulation code or software application used to calculate radiation doses, model the biological effects of ionising radiation, assess environmental radiation risk, or support radiological emergency response decision-making."					Paul Schofield					obo:RBO_011001				
obo:RBO_011011	radiation dosimetry tool				A physical infrastructure consisting of devices or instruments used to measure radiation dose.					Paul Schofield					obo:RBO_011000				
